00ZH               20131030                                                                                   
0601ZHA0N       20140101001080100000005000 0000013030001204   
0601ZHA0N       20140101001085100000005000 0000013150001209   
0601ZHA0N       20140101001090100000005000 0000013280001216   
0601ZHA0N       20140101001095100000005000 0000013390001220   
0601ZHA0N       20140101001100100000005000 0000013510001225   
0601ZHA0N       20140101001105100000005000 0000013630001231   
0601ZHA0N       20140101001110100000005000 0000013760001237   
0601ZHA0N       20140101001115100000005000 0000013880001242   
0601ZHA0N       20140101001120100000005000 0000013990001246   
0601ZHA0N       20140101001125100000005000 0000014110001251   
0601ZHA0N       20140101001130100000005000 0000014250001258   
0601ZHA0N       20140101001135100000005000 0000014360001262   
0601ZHA0N       20140101001140100000005000 0000014480001267   
0601ZHA0N       20140101001145100000005000 0000014600001272   
0601ZHA0N       20140101001150100000005000 0000014730001278   
0601ZHA0N       20140101001155100000005000 0000014850001283   
0601ZHA0N       20140101001160100000005000 0000014970001288   
0601ZHA0N       20140101001165100000005000 0000015080001292   
0601ZHA0N       20140101001170100000005000 0000015230001299   
0601ZHA0N       20140101001175100000005000 0000015350001304   
0601ZHA0N       20140101001180100000005000 0000015480001309   
0601ZHA0N       20140101001185100000005000 0000015610001315   
0601ZHA0N       20140101001190100000005000 0000015750001321   
0601ZHA0N       20140101001195100000005000 0000015870001325   
0601ZHA0N       20140101001200100000005000 0000016000001331   
0601ZHA0N       20140101001205100000005000 0000016130001336   
0601ZHA0N       20140101001210100000005000 0000016270001342   
0601ZHA0N       20140101001215100000005000 0000016400001347   
0601ZHA0N       20140101001220100000005000 0000016530001352   
0601ZHA0N       20140101001225100000005000 0000016650001356   
0601ZHA0N       20140101001230100000005000 0000016780001361   
0601ZHA0N       20140101001235100000005000 0000016920001367   
0601ZHA0N       20140101001240100000005000 0000017050001372   
0601ZHA0N       20140101001245100000005000 0000017180001377   
0601ZHA0N       20140101001250100000005000 0000017300001381   
0601ZHA0N       20140101001255100000005000 0000017440001387   
0601ZHA0N       20140101001260100000005000 0000017570001392   
0601ZHA0N       20140101001265100000005000 0000017700001396   
0601ZHA0N       20140101001270100000005000 0000017820001400   
0601ZHA0N       20140101001275100000005000 0000017970001407   
0601ZHA0N       20140101001280100000005000 0000018090001411   
0601ZHA0N       20140101001285100000005000 0000018220001415   
0601ZHA0N       20140101001290100000005000 0000018350001420   
