00LU               20141215                                                                                   
0601LUA0Y       20150101001235100000005000 0000020370001646   
0601LUA0Y       20150101001240100000005000 0000020490001649   
0601LUA0Y       20150101001245100000005000 0000020630001654   
0601LUA0Y       20150101001250100000005000 0000020750001657   
0601LUA0Y       20150101001255100000005000 0000020870001660   
0601LUA0Y       20150101001260100000005000 0000021010001664   
0601LUA0Y       20150101001265100000005000 0000021140001668   
0601LUA0Y       20150101001270100000005000 0000021260001671   
0601LUA0Y       20150101001275100000005000 0000021400001675   
0601LUA0Y       20150101001280100000005000 0000021520001678   
0601LUA0Y       20150101001285100000005000 0000021640001681   
0601LUA0Y       20150101001290100000005000 0000021780001685   
0601LUA0Y       20150101001295100000005000 0000021900001688   
0601LUA0Y       20150101001300100000005000 0000022020001691   
0601LUA0Y       20150101001305100000005000 0000022170001696   
0601LUA0Y       20150101001310100000005000 0000022290001698   
0601LUA0Y       20150101001315100000005000 0000022410001701   
0601LUA0Y       20150101001320100000005000 0000022550001705   
0601LUA0Y       20150101001325100000005000 0000022670001708   
0601LUA0Y       20150101001330100000005000 0000022790001710   
0601LUA0Y       20150101001335100000005000 0000022940001715   
0601LUA0Y       20150101001340100000005000 0000023060001718   
0601LUA0Y       20150101001345100000005000 0000023180001720   
0601LUA0Y       20150101001350100000005000 0000023320001724   
0601LUA0Y       20150101001355100000005000 0000023440001727   
0601LUA0Y       20150101001360100000005000 0000023560001729   
0601LUA0Y       20150101001365100000005000 0000023710001734   
0601LUA0Y       20150101001370100000005000 0000023830001736   
0601LUA0Y       20150101001375100000005000 0000023950001739   
0601LUA0Y       20150101001380100000005000 0000024110001744   
0601LUA0Y       20150101001385100000005000 0000024240001747   
0601LUA0Y       20150101001390100000005000 0000024370001750   
0601LUA0Y       20150101001395100000005000 0000024520001755   
0601LUA0Y       20150101001400100000005000 0000024650001758   
0601LUA0Y       20150101001405100000005000 0000024780001761   
0601LUA0Y       20150101001410100000005000 0000024930001765   
0601LUA0Y       20150101001415100000005000 0000025060001768   
0601LUA0Y       20150101001420100000005000 0000025190001771   
0601LUA0Y       20150101001425100000005000 0000025350001776   
0601LUA0Y       20150101001430100000005000 0000025480001779   
0601LUA0Y       20150101001435100000005000 0000025610001782   
0601LUA0Y       20150101001440100000005000 0000025760001786   
0601LUA0Y       20150101001445100000005000 0000025890001789   
0601LUA0Y       20150101001450100000005000 0000026020001791   
0601LUA0Y       20150101001455100000005000 0000026180001796   
0601LUA0Y       20150101001460100000005000 0000026310001799   
0601LUA0Y       20150101001465100000005000 0000026440001802   
0601LUA0Y       20150101001470100000005000 0000026590001806   
0601LUA0Y       20150101001475100000005000 0000026720001808   
0601LUA0Y       20150101001480100000005000 0000026850001811   
0601LUA0Y       20150101001485100000005000 0000027000001815   
0601LUA0Y       20150101001490100000005000 0000027130001818   
0601LUA0Y       20150101001495100000005000 0000027260001820   
0601LUA0Y       20150101001500100000005000 0000027420001825   
0601LUA0Y       20150101001505100000005000 0000027550001828   
0601LUA0Y       20150101001510100000005000 0000027680001830   
0601LUA0Y       20150101001515100000005000 0000027830001834   
0601LUA0Y       20150101001520100000005000 0000027960001836   
0601LUA0Y       20150101001525100000005000 0000028090001839   
0601LUA0Y       20150101001530100000005000 0000028250001843   
0601LUA0Y       20150101001535100000005000 0000028380001846   
0601LUA0Y       20150101001540100000005000 0000028510001848   
0601LUA0Y       20150101001545100000005000 0000028660001852   
0601LUA0Y       20150101001550100000005000 0000028790001854   
0601LUA0Y       20150101001555100000005000 0000028920001857   
0601LUA0Y       20150101001560100000005000 0000029050001859   
0601LUA0Y       20150101001565100000005000 0000029200001863   
0601LUA0Y       20150101001570100000005000 0000029330001865   
0601LUA0Y       20150101001575100000005000 0000029460001868   
0601LUA0Y       20150101001580100000005000 0000029620001872   
0601LUA0Y       20150101001585100000005000 0000029760001875   
0601LUA0Y       20150101001590100000005000 0000029890001877   
0601LUA0Y       20150101001595100000005000 0000030050001881   
0601LUA0Y       20150101001600100000005000 0000030180001883   
0601LUA0Y       20150101001605100000005000 0000030320001886   
0601LUA0Y       20150101001610100000005000 0000030480001890   
0601LUA0Y       20150101001615100000005000 0000030610001892   
0601LUA0Y       20150101001620100000005000 0000030740001895   
0601LUA0Y       20150101001625100000005000 0000030900001899   
0601LUA0Y       20150101001630100000005000 0000031040001901   
0601LUA0Y       20150101001635100000005000 0000031170001904   
0601LUA0Y       20150101001640100000005000 0000031330001907   
0601LUA0Y       20150101001645100000005000 0000031460001910   
0601LUA0Y       20150101001650100000005000 0000031600001912   
0601LUA0Y       20150101001655100000005000 0000031760001916   
0601LUA0Y       20150101001660100000005000 0000031890001918   
0601LUA0Y       20150101001665100000005000 0000032020001920   
0601LUA0Y       20150101001670100000005000 0000032180001924   
0601LUA0Y       20150101001675100000005000 0000032320001927   
0601LUA0Y       20150101001680100000005000 0000032450001929   
0601LUA0Y       20150101001685100000005000 0000032610001932   
0601LUA0Y       20150101001690100000005000 0000032740001934   
0601LUA0Y       20150101001695100000005000 0000032880001937   
0601LUA0Y       20150101001700100000005000 0000033040001941   
0601LUA0Y       20150101001705100000005000 0000033170001943   
0601LUA0Y       20150101001710100000005000 0000033300001945   
0601LUA0Y       20150101001715100000005000 0000033460001948   
0601LUA0Y       20150101001720100000005000 0000033600001951   
0601LUA0Y       20150101001725100000005000 0000033730001953   
0601LUA0Y       20150101001730100000005000 0000033890001956   
0601LUA0Y       20150101001735100000005000 0000034020001958   
0601LUA0Y       20150101001740100000005000 0000034160001960   
0601LUA0Y       20150101001745100000005000 0000034320001964   
0601LUA0Y       20150101001750100000005000 0000034450001966   
0601LUA0Y       20150101001755100000005000 0000034580001968   
0601LUA0Y       20150101001760100000005000 0000034740001971   
0601LUA0Y       20150101001765100000005000 0000034890001974   
0601LUA0Y       20150101001770100000005000 0000035030001976   
0601LUA0Y       20150101001775100000005000 0000035200001980   
0601LUA0Y       20150101001780100000005000 0000035340001983   
0601LUA0Y       20150101001785100000005000 0000035480001985   
0601LUA0Y       20150101001790100000005000 0000035650001989   
0601LUA0Y       20150101001795100000005000 0000035800001992   
0601LUA0Y       20150101001800100000005000 0000035940001994   
0601LUA0Y       20150101001805100000005000 0000036110001998   
0601LUA0Y       20150101001810100000005000 0000036260002001   
0601LUA0Y       20150101001815100000005000 0000036400002003   
0601LUA0Y       20150101001820100000005000 0000036580002007   
0601LUA0Y       20150101001825100000005000 0000036730002010   
0601LUA0Y       20150101001830100000005000 0000036870002012   
0601LUA0Y       20150101001835100000005000 0000037050002016   
0601LUA0Y       20150101001840100000005000 0000037200002019   
0601LUA0Y       20150101001845100000005000 0000037350002022   
0601LUA0Y       20150101001850100000005000 0000037520002025   
0601LUA0Y       20150101001855100000005000 0000037670002028   
0601LUA0Y       20150101001860100000005000 0000037820002031   
0601LUA0Y       20150101001865100000005000 0000037990002034   
0601LUA0Y       20150101001870100000005000 0000038140002037   
0601LUA0Y       20150101001875100000005000 0000038290002039   
0601LUA0Y       20150101001880100000005000 0000038470002044   
0601LUA0Y       20150101001885100000005000 0000038610002046   
0601LUA0Y       20150101001890100000005000 0000038760002048   
0601LUA0Y       20150101001895100000005000 0000038940002052   
0601LUA0Y       20150101001900100000005000 0000039080002054   
0601LUA0Y       20150101001905100000005000 0000039230002057   
0601LUA0Y       20150101001910100000005000 0000039410002061   
0601LUA0Y       20150101001915100000005000 0000039560002063   
0601LUA0Y       20150101001920100000005000 0000039700002065   
0601LUA0Y       20150101001925100000005000 0000039880002069   
0601LUA0Y       20150101001930100000005000 0000040030002071   
0601LUA0Y       20150101001935100000005000 0000040170002073   
0601LUA0Y       20150101001940100000005000 0000040350002077   
0601LUA0Y       20150101001945100000005000 0000040500002080   
0601LUA0Y       20150101001950100000005000 0000040650002082   
0601LUA0Y       20150101001955100000005000 0000040820002085   
0601LUA0Y       20150101001960100000005000 0000040970002088   
0601LUA0Y       20150101001965100000005000 0000041120002090   
0601LUA0Y       20150101001970100000005000 0000041290002093   
0601LUA0Y       20150101001975100000005000 0000041440002096   
0601LUA0Y       20150101001980100000005000 0000041590002098   
0601LUA0Y       20150101001985100000005000 0000041760002101   
0601LUA0Y       20150101001990100000005000 0000041910002103   
0601LUA0Y       20150101001995100000005000 0000042060002106   
0601LUA0Y       20150101002000100000005000 0000042240002109   
0601LUA0Y       20150101002005100000005000 0000042380002111   
0601LUA0Y       20150101002010100000005000 0000042530002113   
0601LUA0Y       20150101002015100000005000 0000042710002117   
0601LUA0Y       20150101002020100000005000 0000042850002119   
0601LUA0Y       20150101002025100000005000 0000043000002121   
0601LUA0Y       20150101002030100000005000 0000043180002124   
0601LUA0Y       20150101002035100000005000 0000043330002127   
0601LUA0Y       20150101002040100000005000 0000043470002128   
0601LUA0Y       20150101002045100000005000 0000043650002132   
0601LUA0Y       20150101002050100000005000 0000043800002134   
0601LUA0Y       20150101002055100000005000 0000043940002136   
0601LUA0Y       20150101002060100000005000 0000044120002139   
0601LUA0Y       20150101002065100000005000 0000044270002141   
0601LUA0Y       20150101002070100000005000 0000044420002143   
0601LUA0Y       20150101002075100000005000 0000044590002146   
0601LUA0Y       20150101002080100000005000 0000044740002148   
0601LUA0Y       20150101002085100000005000 0000044890002150   
0601LUA0Y       20150101002090100000005000 0000045060002153   
0601LUA0Y       20150101002095100000005000 0000045210002155   
0601LUA0Y       20150101002100100000005000 0000045360002157   
0601LUA0Y       20150101002105100000005000 0000045540002161   
0601LUA0Y       20150101002110100000005000 0000045680002162   
0601LUA0Y       20150101002115100000005000 0000045830002164   
0601LUA0Y       20150101002120100000005000 0000046010002168   
0601LUA0Y       20150101002125100000005000 0000046150002169   
0601LUA0Y       20150101002130100000005000 0000046300002171   
0601LUA0Y       20150101002135100000005000 0000046480002175   
0601LUA0Y       20150101002140100000005000 0000046630002176   
0601LUA0Y       20150101002145100000005000 0000046770002178   
0601LUA0Y       20150101002150100000005000 0000046950002181   
0601LUA0Y       20150101002155100000005000 0000047100002183   
0601LUA0Y       20150101002160100000005000 0000047240002185   
0601LUA0Y       20150101002165100000005000 0000047420002188   
0601LUA0Y       20150101002170100000005000 0000047570002190   
0601LUA0Y       20150101002175100000005000 0000047710002191   
0601LUA0Y       20150101002180100000005000 0000047890002194   
0601LUA0Y       20150101002185100000005000 0000048040002196   
0601LUA0Y       20150101002190100000005000 0000048190002198   
0601LUA0Y       20150101002195100000005000 0000048360002201   
0601LUA0Y       20150101002200100000005000 0000048510002202   
0601LUA0Y       20150101002205100000005000 0000048660002204   
0601LUA0Y       20150101002210100000005000 0000048830002207   
0601LUA0Y       20150101002215100000005000 0000048980002209   
0601LUA0Y       20150101002220100000005000 0000049130002211   
0601LUA0Y       20150101002225100000005000 0000049310002214   
0601LUA0Y       20150101002230100000005000 0000049450002215   
0601LUA0Y       20150101002235100000005000 0000049600002217   
0601LUA0Y       20150101002240100000005000 0000049780002220   
0601LUA0Y       20150101002245100000005000 0000049920002221   
0601LUA0Y       20150101002250100000005000 0000050070002223   
0601LUA0Y       20150101002255100000005000 0000050250002226   
0601LUA0Y       20150101002260100000005000 0000050400002228   
0601LUA0Y       20150101002265100000005000 0000050540002229   
0601LUA0Y       20150101002270100000005000 0000050690002231   
0601LUA0Y       20150101002275100000005000 0000050870002234   
0601LUA0Y       20150101002280100000005000 0000051010002235   
0601LUA0Y       20150101002285100000005000 0000051160002237   
0601LUA0Y       20150101002290100000005000 0000051340002239   
