00BS               20151102                                                                                   
0601BSA0N       20160101014400100000100000 0000000000003241   
0601BSA0N       20160101014500100000100000 0000000000003242   
0601BSA0N       20160101014600100000100000 0000000000003242   
0601BSA0N       20160101014700100000100000 0000000000003243   
0601BSA0N       20160101014800100000100000 0000000000003244   
0601BSA0N       20160101014900100000100000 0000000000003244   
0601BSA0N       20160101015000100000100000 0000000000003245   
0601BSA0N       20160101015100100000100000 0000000000003245   
0601BSA0N       20160101015200100000100000 0000000000003246   
0601BSA0N       20160101015300100000100000 0000000000003246   
0601BSA0N       20160101015400100000100000 0000000000003247   
0601BSA0N       20160101015500100000100000 0000000000003247   
0601BSA0N       20160101015600100000100000 0000000000003248   
0601BSA0N       20160101015700100000100000 0000000000003249   
0601BSA0N       20160101015800100000100000 0000000000003249   
0601BSA0N       20160101015900100000100000 0000000000003250   
0601BSA0N       20160101016000100000100000 0000000000003250   
0601BSA0N       20160101016100100000100000 0000000000003251   
0601BSA0N       20160101016200100000100000 0000000000003251   
0601BSA0N       20160101016300100000100000 0000000000003252   
0601BSA0N       20160101016400100000100000 0000000000003252   
0601BSA0N       20160101016500100000100000 0000000000003253   
0601BSA0N       20160101016600100000100000 0000000000003253   
0601BSA0N       20160101016700100000100000 0000000000003254   
0601BSA0N       20160101016800100000100000 0000000000003254   
0601BSA0N       20160101016900100000100000 0000000000003255   
0601BSA0N       20160101017000100000100000 0000000000003255   
0601BSA0N       20160101017100100000100000 0000000000003255   
0601BSA0N       20160101017200100000100000 0000000000003256   
0601BSA0N       20160101017300100000100000 0000000000003256   
0601BSA0N       20160101017400100000100000 0000000000003257   
0601BSA0N       20160101017500100000100000 0000000000003257   
0601BSA0N       20160101017600100000100000 0000000000003258   
0601BSA0N       20160101017700100000100000 0000000000003258   
0601BSA0N       20160101017800100000100000 0000000000003258   
0601BSA0N       20160101017900100000100000 0000000000003259   
0601BSA0N       20160101018000100000100000 0000000000003259   
0601BSA0N       20160101018100100000100000 0000000000003260   
0601BSA0N       20160101018200100000100000 0000000000003260   
0601BSA0N       20160101018300100000100000 0000000000003261   
0601BSA0N       20160101018400100000100000 0000000000003261   
0601BSA0N       20160101018500100000100000 0000000000003261   
0601BSA0N       20160101018600100000100000 0000000000003262   
0601BSA0N       20160101018700100000100000 0000000000003262   
0601BSA0N       20160101018800100000100000 0000000000003262   
0601BSA0N       20160101018900100000100000 0000000000003263   
0601BSA0N       20160101019000100000100000 0000000000003263   
0601BSA0N       20160101019100100000100000 0000000000003264   
0601BSA0N       20160101019200100000100000 0000000000003264   
0601BSA0N       20160101019300100000100000 0000000000003264   
0601BSA0N       20160101019400100000100000 0000000000003265   
0601BSA0N       20160101019500100000100000 0000000000003265   
0601BSA0N       20160101019600100000100000 0000000000003265   
0601BSA0N       20160101019700100000100000 0000000000003266   
0601BSA0N       20160101019800100000100000 0000000000003266   
0601BSA0N       20160101019900100000100000 0000000000003266   
0601BSA0N       20160101020000100001000000 0000000000003268   
0601BSA0N       20160101021000100001000000 0000000000003271   
0601BSA0N       20160101022000100001000000 0000000000003274   
0601BSA0N       20160101023000100001000000 0000000000003276   
0601BSA0N       20160101024000100001000000 0000000000003279   
0601BSA0N       20160101025000100001000000 0000000000003281   
0601BSA0N       20160101026000100001000000 0000000000003283   
0601BSA0N       20160101027000100001000000 0000000000003285   
0601BSA0N       20160101028000100001000000 0000000000003286   
0601BSA0N       20160101029000100001000000 0000000000003288   
0601BSA0N       20160101030000100001000000 0000000000003289   
0601BSA0N       20160101031000100001000000 0000000000003291   
0601BSA0N       20160101032000100001000000 0000000000003292   
0601BSA0N       20160101033000100001000000 0000000000003293   
0601BSA0N       20160101034000100001000000 0000000000003294   
0601BSA0N       20160101035000100001000000 0000000000003295   
0601BSA0N       20160101036000100001000000 0000000000003297   
0601BSA0N       20160101037000100001000000 0000000000003297   
0601BSA0N       20160101038000100001000000 0000000000003298   
0601BSA0N       20160101039000100001000000 0000000000003299   
0601BSA0N       20160101040000100001000000 0000000000003300   
0601BSA0N       20160101041000100001000000 0000000000003301   
0601BSA0N       20160101042000100001000000 0000000000003302   
0601BSA0N       20160101043000100001000000 0000000000003302   
0601BSA0N       20160101044000100001000000 0000000000003303   
0601BSA0N       20160101045000100001000000 0000000000003304   
0601BSA0N       20160101046000100001000000 0000000000003304   
0601BSA0N       20160101047000100001000000 0000000000003305   
0601BSA0N       20160101048000100001000000 0000000000003305   
0601BSA0N       20160101049000100001000000 0000000000003306   
0601BSA0N       20160101050000100001000000 0000000000003307   
0601BSA0N       20160101051000100001000000 0000000000003307   
0601BSA0N       20160101052000100001000000 0000000000003308   
0601BSA0N       20160101053000100001000000 0000000000003308   
0601BSA0N       20160101054000100001000000 0000000000003308   
0601BSA0N       20160101055000100001000000 0000000000003309   
0601BSA0N       20160101056000100001000000 0000000000003309   
0601BSA0N       20160101057000100001000000 0000000000003310   
0601BSA0N       20160101058000100001000000 0000000000003310   
0601BSA0N       20160101059000100001000000 0000000000003311   
0601BSA0N       20160101060000100010000000 0000000000003312   
0601BSA0N       20160101070000100010000000 0000000000003315   
0601BSA0N       20160101080000100010000000 0000000000003317   
0601BSA0N       20160101090000100010000000 0000000000003319   
0601BSA0N       20160101100000100010000000 0000000000003320   
0601BSA1N       20160101000000100000110000 0100000000000000   
0601BSA1N       20160101000110100000010000 0100000000000000   
0601BSA1N       20160101000120100000010000 0100000000000000   
0601BSA1N       20160101000130100000010000 0100000000000000   
0601BSA1N       20160101000140100000010000 0100000000000000   
0601BSA1N       20160101000150100000010000 0100000000000000   
0601BSA1N       20160101000160100000010000 0100000000000000   
0601BSA1N       20160101000170100000010000 0100000000000000   
0601BSA1N       20160101000180100000010000 0100000000000000   
0601BSA1N       20160101000190100000010000 0100000000000000   
