00GE               20171120                                                                                   
0601GEA0N       20180101001555005000005000 0000000000002342   
0601GEA0N       20180101001560005000005000 0000000000002345   
0601GEA0N       20180101001565005000005000 0000000000002349   
0601GEA0N       20180101001570005000005000 0000000000002353   
0601GEA0N       20180101001575005000005000 0000000000002356   
0601GEA0N       20180101001580005000005000 0000000000002359   
0601GEA0N       20180101001585005000005000 0000000000002363   
0601GEA0N       20180101001590005000005000 0000000000002366   
0601GEA0N       20180101001595005000005000 0000000000002370   
0601GEA0N       20180101001600005000005000 0000000000002374   
0601GEA0N       20180101001605005000005000 0000000000002377   
0601GEA0N       20180101001610005000005000 0000000000002380   
0601GEA0N       20180101001615005000005000 0000000000002384   
0601GEA0N       20180101001620005000005000 0000000000002388   
0601GEA0N       20180101001625005000005000 0000000000002391   
0601GEA0N       20180101001630005000005000 0000000000002395   
0601GEA0N       20180101001635005000005000 0000000000002398   
0601GEA0N       20180101001640005000005000 0000000000002402   
0601GEA0N       20180101001645005000005000 0000000000002405   
0601GEA0N       20180101001650005000005000 0000000000002409   
0601GEA0N       20180101001655005000005000 0000000000002412   
0601GEA0N       20180101001660005000005000 0000000000002415   
0601GEA0N       20180101001665005000005000 0000000000002419   
0601GEA0N       20180101001670005000005000 0000000000002422   
0601GEA0N       20180101001675005000005000 0000000000002425   
0601GEA0N       20180101001680005000005000 0000000000002429   
0601GEA0N       20180101001685005000005000 0000000000002432   
0601GEA0N       20180101001690005000005000 0000000000002435   
0601GEA0N       20180101001695005000005000 0000000000002439   
0601GEA0N       20180101001700005000005000 0000000000002442   
0601GEA0N       20180101001705005000005000 0000000000002445   
0601GEA0N       20180101001710005000005000 0000000000002448   
0601GEA0N       20180101001715005000005000 0000000000002451   
0601GEA0N       20180101001720005000005000 0000000000002454   
0601GEA0N       20180101001725005000005000 0000000000002458   
0601GEA0N       20180101001730005000005000 0000000000002461   
0601GEA0N       20180101001735005000005000 0000000000002464   
0601GEA0N       20180101001740005000005000 0000000000002467   
0601GEA0N       20180101001745005000005000 0000000000002470   
0601GEA0N       20180101001750005000005000 0000000000002473   
0601GEA0N       20180101001755005000005000 0000000000002476   
0601GEA0N       20180101001760005000005000 0000000000002479   
0601GEA0N       20180101001765005000005000 0000000000002482   
0601GEA0N       20180101001770005000005000 0000000000002486   
