00OW               20161205                                                                                   
0601OWA0N       20170101000925100000005000 0000010530001135   
0601OWA0N       20170101000930100000005000 0000010610001138   
0601OWA0N       20170101000935100000005000 0000010700001141   
0601OWA0N       20170101000940100000005000 0000010780001144   
0601OWA0N       20170101000945100000005000 0000010860001146   
0601OWA0N       20170101000950100000005000 0000010960001151   
0601OWA0N       20170101000955100000005000 0000011040001153   
0601OWA0N       20170101000960100000005000 0000011130001156   
0601OWA0N       20170101000965100000005000 0000011210001159   
0601OWA0N       20170101000970100000005000 0000011290001161   
0601OWA0N       20170101000975100000005000 0000011390001165   
0601OWA0N       20170101000980100000005000 0000011470001167   
0601OWA0N       20170101000985100000005000 0000011560001171   
0601OWA0N       20170101000990100000005000 0000011640001173   
0601OWA0N       20170101000995100000005000 0000011740001177   
0601OWA0N       20170101001000100000005000 0000011820001179   
0601OWA0N       20170101001005100000005000 0000011900001181   
0601OWA0N       20170101001010100000005000 0000011990001184   
0601OWA0N       20170101001015100000005000 0000012070001186   
0601OWA0N       20170101001020100000005000 0000012160001189   
0601OWA0N       20170101001025100000005000 0000012250001192   
0601OWA0N       20170101001030100000005000 0000012330001194   
0601OWA0N       20170101001035100000005000 0000012410001196   
0601OWA0N       20170101001040100000005000 0000012510001200   
0601OWA0N       20170101001045100000005000 0000012590001202   
0601OWA0N       20170101001050100000005000 0000012680001205   
0601OWA0N       20170101001055100000005000 0000012760001207   
0601OWA0N       20170101001060100000005000 0000012840001208   
0601OWA0N       20170101001065100000005000 0000012940001212   
0601OWA0N       20170101001070100000005000 0000013020001214   
0601OWA0N       20170101001075100000005000 0000013100001216   
0601OWA0N       20170101001080100000005000 0000013190001218   
0601OWA0N       20170101001085100000005000 0000013290001222   
0601OWA0N       20170101001090100000005000 0000013380001225   
0601OWA0N       20170101001095100000005000 0000013470001227   
0601OWA0N       20170101001100100000005000 0000013560001230   
0601OWA0N       20170101001105100000005000 0000013660001233   
0601OWA0N       20170101001110100000005000 0000013760001237   
0601OWA0N       20170101001115100000005000 0000013860001240   
0601OWA0N       20170101001120100000005000 0000013950001243   
0601OWA0N       20170101001125100000005000 0000014040001245   
0601OWA0N       20170101001130100000005000 0000014130001248   
0601OWA0N       20170101001135100000005000 0000014240001252   
0601OWA0N       20170101001140100000005000 0000014330001254   
0601OWA0N       20170101001145100000005000 0000014430001258   
0601OWA0N       20170101001150100000005000 0000014520001260   
0601OWA0N       20170101001155100000005000 0000014630001264   
0601OWA0N       20170101001160100000005000 0000014720001266   
0601OWA0N       20170101001165100000005000 0000014810001269   
0601OWA0N       20170101001170100000005000 0000014900001271   
0601OWA0N       20170101001175100000005000 0000015000001274   
0601OWA0N       20170101001180100000005000 0000015110001278   
0601OWA0N       20170101001185100000005000 0000015200001280   
0601OWA0N       20170101001190100000005000 0000015290001282   
0601OWA0N       20170101001195100000005000 0000015380001284   
0601OWA0N       20170101001200100000005000 0000015490001288   
0601OWA0N       20170101001205100000005000 0000015580001290   
0601OWA0N       20170101001210100000005000 0000015670001292   
0601OWA0N       20170101001215100000005000 0000015770001295   
0601OWA0N       20170101001220100000005000 0000015860001297   
0601OWA0N       20170101001225100000005000 0000015970001301   
0601OWA0N       20170101001230100000005000 0000016060001303   
0601OWA0N       20170101001235100000005000 0000016150001305   
0601OWA0N       20170101001240100000005000 0000016240001307   
0601OWA0N       20170101001245100000005000 0000016350001311   
0601OWA0N       20170101001250100000005000 0000016450001313   
0601OWA0N       20170101001255100000005000 0000016540001315   
0601OWA0N       20170101001260100000005000 0000016650001319   
0601OWA0N       20170101001265100000005000 0000016740001321   
0601OWA0N       20170101001270100000005000 0000016830001323   
0601OWA0N       20170101001275100000005000 0000016940001326   
0601OWA0N       20170101001280100000005000 0000017030001328   
0601OWA0N       20170101001285100000005000 0000017130001330   
0601OWA0N       20170101001290100000005000 0000017240001334   
0601OWA0N       20170101001295100000005000 0000017330001336   
0601OWA0N       20170101001300100000005000 0000017420001337   
0601OWA0N       20170101001305100000005000 0000017530001341   
0601OWA0N       20170101001310100000005000 0000017620001342   
0601OWA0N       20170101001315100000005000 0000017710001344   
0601OWA0N       20170101001320100000005000 0000017820001347   
0601OWA0N       20170101001325100000005000 0000017920001350   
0601OWA0N       20170101001330100000005000 0000018010001352   
0601OWA0N       20170101001335100000005000 0000018120001355   
0601OWA0N       20170101001340100000005000 0000018210001356   
0601OWA0N       20170101001345100000005000 0000018300001358   
0601OWA0N       20170101001350100000005000 0000018410001361   
0601OWA0N       20170101001355100000005000 0000018500001363   
0601OWA0N       20170101001360100000005000 0000018600001365   
0601OWA0N       20170101001365100000005000 0000018710001368   
0601OWA0N       20170101001370100000005000 0000018800001370   
0601OWA0N       20170101001375100000005000 0000018890001371   
0601OWA0N       20170101001380100000005000 0000019010001375   
0601OWA0N       20170101001385100000005000 0000019110001377   
0601OWA0N       20170101001390100000005000 0000019210001380   
0601OWA0N       20170101001395100000005000 0000019330001383   
0601OWA0N       20170101001400100000005000 0000019430001385   
0601OWA0N       20170101001405100000005000 0000019530001388   
0601OWA0N       20170101001410100000005000 0000019650001391   
0601OWA0N       20170101001415100000005000 0000019750001393   
0601OWA0N       20170101001420100000005000 0000019850001395   
0601OWA0N       20170101001425100000005000 0000019970001399   
0601OWA0N       20170101001430100000005000 0000020070001401   
0601OWA0N       20170101001435100000005000 0000020170001403   
0601OWA0N       20170101001440100000005000 0000020290001407   
0601OWA0N       20170101001445100000005000 0000020390001409   
0601OWA0N       20170101001450100000005000 0000020490001411   
