00AR               20171221                                                                                   
0601ARA0N       20180101001760100000005000 0000035270002001   
0601ARA0N       20180101001765100000005000 0000035400002003   
0601ARA0N       20180101001770100000005000 0000035570002007   
0601ARA0N       20180101001775100000005000 0000035720002009   
0601ARA0N       20180101001780100000005000 0000035860002012   
0601ARA0N       20180101001785100000005000 0000036030002015   
0601ARA0N       20180101001790100000005000 0000036170002018   
0601ARA0N       20180101001795100000005000 0000036310002020   
0601ARA0N       20180101001800100000005000 0000036480002024   
0601ARA0N       20180101001805100000005000 0000036620002026   
0601ARA0N       20180101001810100000005000 0000036760002028   
0601ARA0N       20180101001815100000005000 0000036930002032   
0601ARA0N       20180101001820100000005000 0000037070002034   
0601ARA0N       20180101001825100000005000 0000037220002036   
0601ARA0N       20180101001830100000005000 0000037390002040   
0601ARA0N       20180101001835100000005000 0000037530002042   
0601ARA0N       20180101001840100000005000 0000037670002044   
0601ARA0N       20180101001845100000005000 0000037840002048   
0601ARA0N       20180101001850100000005000 0000037980002050   
0601ARA0N       20180101001855100000005000 0000038120002052   
0601ARA0N       20180101001860100000005000 0000038290002056   
0601ARA0N       20180101001865100000005000 0000038430002058   
0601ARA0N       20180101001870100000005000 0000038580002060   
0601ARA0N       20180101001875100000005000 0000038750002064   
0601ARA0N       20180101001880100000005000 0000038890002066   
0601ARA0N       20180101001885100000005000 0000039030002068   
0601ARA0N       20180101001890100000005000 0000039200002071   
0601ARA0N       20180101001895100000005000 0000039340002073   
0601ARA0N       20180101001900100000005000 0000039480002075   
0601ARA0N       20180101001905100000005000 0000039650002079   
0601ARA0N       20180101001910100000005000 0000039790002081   
0601ARA0N       20180101001915100000005000 0000039940002083   
0601ARA0N       20180101001920100000005000 0000040110002086   
0601ARA0N       20180101001925100000005000 0000040250002088   
0601ARA0N       20180101001930100000005000 0000040390002090   
0601ARA0N       20180101001935100000005000 0000040560002093   
0601ARA0N       20180101001940100000005000 0000040700002095   
0601ARA0N       20180101001945100000005000 0000040840002097   
0601ARA0N       20180101001950100000005000 0000041010002101   
0601ARA0N       20180101001955100000005000 0000041150002102   
0601ARA0N       20180101001960100000005000 0000041300002104   
0601ARA0N       20180101001965100000005000 0000041470002108   
0601ARA0N       20180101001970100000005000 0000041610002109   
0601ARA0N       20180101001975100000005000 0000041750002111   
0601ARA0N       20180101001980100000005000 0000041920002114   
0601ARA0N       20180101001985100000005000 0000042060002116   
0601ARA0N       20180101001990100000005000 0000042200002118   
0601ARA0N       20180101001995100000005000 0000042370002121   
0601ARA0N       20180101002000100000005000 0000042510002123   
0601ARA0N       20180101002005100000005000 0000042660002125   
0601ARA0N       20180101002010100000005000 0000042830002128   
0601ARA0N       20180101002015100000005000 0000042970002130   
0601ARA0N       20180101002020100000005000 0000043110002131   
0601ARA0N       20180101002025100000005000 0000043280002135   
0601ARA0N       20180101002030100000005000 0000043420002136   
0601ARA0N       20180101002035100000005000 0000043560002138   
0601ARA0N       20180101002040100000005000 0000043730002141   
0601ARA0N       20180101002045100000005000 0000043870002143   
0601ARA0N       20180101002050100000005000 0000044020002144   
0601ARA0N       20180101002055100000005000 0000044190002148   
0601ARA0N       20180101002060100000005000 0000044330002149   
0601ARA0N       20180101002065100000005000 0000044470002151   
0601ARA0N       20180101002070100000005000 0000044640002154   
0601ARA0N       20180101002075100000005000 0000044780002155   
0601ARA0N       20180101002080100000005000 0000044920002157   
0601ARA0N       20180101002085100000005000 0000045090002160   
0601ARA0N       20180101002090100000005000 0000045230002162   
0601ARA0N       20180101002095100000005000 0000045370002163   
0601ARA0N       20180101002100100000005000 0000045540002166   
0601ARA0N       20180101002105100000005000 0000045690002168   
0601ARA0N       20180101002110100000005000 0000045830002169   
0601ARA0N       20180101002115100000005000 0000046000002172   
0601ARA0N       20180101002120100000005000 0000046140002174   
0601ARA0N       20180101002125100000005000 0000046280002175   
0601ARA0N       20180101002130100000005000 0000046450002178   
0601ARA0N       20180101002135100000005000 0000046590002180   
0601ARA0N       20180101002140100000005000 0000046730002181   
0601ARA0N       20180101002145100000005000 0000046900002184   
0601ARA0N       20180101002150100000005000 0000047050002186   
0601ARA0N       20180101002155100000005000 0000047190002187   
0601ARA0N       20180101002160100000005000 0000047360002190   
0601ARA0N       20180101002165100000005000 0000047500002191   
0601ARA0N       20180101002170100000005000 0000047640002193   
0601ARA0N       20180101002175100000005000 0000047810002196   
0601ARA0N       20180101002180100000005000 0000047950002197   
0601ARA0N       20180101002185100000005000 0000048090002199   
0601ARA0N       20180101002190100000005000 0000048260002201   
0601ARA0N       20180101002195100000005000 0000048410002203   
0601ARA0N       20180101002200100000005000 0000048550002204   
0601ARA0N       20180101002205100000005000 0000048720002207   
0601ARA0N       20180101002210100000005000 0000048860002208   
0601ARA0N       20180101002215100000005000 0000049000002210   
0601ARA0N       20180101002220100000005000 0000049170002212   
0601ARA0N       20180101002225100000005000 0000049310002214   
0601ARA0N       20180101002230100000005000 0000049450002215   
0601ARA0N       20180101002235100000005000 0000049620002218   
0601ARA0N       20180101002240100000005000 0000049770002219   
0601ARA0N       20180101002245100000005000 0000049910002221   
0601ARA0N       20180101002250100000005000 0000050080002223   
0601ARA0N       20180101002255100000005000 0000050220002225   
0601ARA0N       20180101002260100000005000 0000050360002226   
0601ARA0N       20180101002265100000005000 0000050530002228   
0601ARA0N       20180101002270100000005000 0000050670002230   
0601ARA0N       20180101002275100000005000 0000050810002231   
0601ARA0N       20180101002280100000005000 0000050980002234   
0601ARA0N       20180101002285100000005000 0000051130002235   
0601ARA0N       20180101002290100000005000 0000051270002236   
0601ARA0N       20180101002295100000005000 0000051440002239   
0601ARA0N       20180101002300100000005000 0000051580002240   
0601ARA0N       20180101002305100000005000 0000051720002241   
0601ARA0N       20180101002310100000005000 0000051890002244   
0601ARA0N       20180101002315100000005000 0000052030002245   
0601ARA0N       20180101002320100000005000 0000052170002246   
0601ARA0N       20180101002325100000005000 0000052340002249   
0601ARA0N       20180101002330100000005000 0000052490002250   
0601ARA0N       20180101002335100000005000 0000052630002251   
0601ARA0N       20180101002340100000005000 0000052800002254   
0601ARA0N       20180101002345100000005000 0000052940002255   
0601ARA0N       20180101002350100000005000 0000053080002256   
0601ARA0N       20180101002355100000005000 0000053250002259   
0601ARA0N       20180101002360100000005000 0000053390002260   
0601ARA0N       20180101002365100000005000 0000053530002261   
0601ARA0N       20180101002370100000005000 0000053670002262   
0601ARA0N       20180101002375100000005000 0000053840002265   
0601ARA0N       20180101002380100000005000 0000053990002266   
0601ARA0N       20180101002385100000005000 0000054130002267   
0601ARA0N       20180101002390100000005000 0000054300002270   
0601ARA0N       20180101002395100000005000 0000054440002271   
0601ARA0N       20180101002400100000005000 0000054580002272   
0601ARA0N       20180101002405100000005000 0000054750002274   
0601ARA0N       20180101002410100000005000 0000054890002275   
0601ARA0N       20180101002415100000005000 0000055030002277   
0601ARA0N       20180101002420100000005000 0000055200002279   
0601ARA0N       20180101002425100000005000 0000055350002280   
0601ARA0N       20180101002430100000005000 0000055490002281   
0601ARA0N       20180101002435100000005000 0000055660002283   
0601ARA0N       20180101002440100000005000 0000055800002285   
0601ARA0N       20180101002445100000005000 0000055940002286   
0601ARA0N       20180101002450100000005000 0000056100002287   
0601ARA0N       20180101002455100000005000 0000056230002288   
0601ARA0N       20180101002460100000005000 0000056360002289   
0601ARA0N       20180101002465100000005000 0000056520002291   
0601ARA0N       20180101002470100000005000 0000056660002291   
0601ARA0N       20180101002475100000005000 0000056790002292   
0601ARA0N       20180101002480100000005000 0000056950002294   
0601ARA0N       20180101002485100000005000 0000057080002295   
0601ARA0N       20180101002490100000005000 0000057210002295   
0601ARA0N       20180101002495100000005000 0000057370002297   
0601ARA0N       20180101002500100000500000 0000064510002346   
0601ARA0N       20180101003000100000500000 0000078650002420   
0601ARA0N       20180101003500100000500000 0000092820002475   
0601ARA0N       20180101004000100000500000 0000106970002517   
0601ARA0N       20180101004500100000500000 0000121110002550   
0601ARA1N       20180101000000100000115000 0100000030000026   
0601ARA1N       20180101000115100000005000 0100000030000026   
0601ARA1N       20180101000120100000005000 0100000030000024   
0601ARA1N       20180101000125100000005000 0100000030000024   
0601ARA1N       20180101000130100000005000 0100000030000023   
0601ARA1N       20180101000135100000005000 0100000030000022   
0601ARA1N       20180101000140100000005000 0100000030000021   
0601ARA1N       20180101000145100000005000 0100000030000020   
0601ARA1N       20180101000150100000005000 0100000030000020   
0601ARA1N       20180101000155100000005000 0100000030000019   
0601ARA1N       20180101000160100000005000 0100000030000018   
0601ARA1N       20180101000165100000005000 0100000030000018   
0601ARA1N       20180101000170100000005000 0100000030000017   
0601ARA1N       20180101000175100000005000 0100000030000017   
0601ARA1N       20180101000180100000005000 0100000030000016   
0601ARA1N       20180101000185100000005000 0100000030000016   
0601ARA1N       20180101000190100000005000 0100000030000016   
0601ARA1N       20180101000195100000005000 0100000030000015   
0601ARA1N       20180101000200100000005000 0100000030000015   
0601ARA1N       20180101000205100000005000 0100000030000014   
0601ARA1N       20180101000210100000005000 0100000040000019   
0601ARA1N       20180101000215100000005000 0100000060000029   
0601ARA1N       20180101000220100000005000 0100000090000042   
0601ARA1N       20180101000225100000005000 0100000120000055   
0601ARA1N       20180101000230100000005000 0100000160000068   
0601ARA1N       20180101000235100000005000 0100000210000087   
0601ARA1N       20180101000240100000005000 0100000250000104   
0601ARA1N       20180101000245100000005000 0100000300000121   
0601ARA1N       20180101000250100000005000 0100000350000137   
0601ARA1N       20180101000255100000005000 0100000390000152   
0601ARA1N       20180101000260100000005000 0100000440000167   
0601ARA1N       20180101000265100000005000 0100000490000181   
0601ARA1N       20180101000270100000005000 0100000530000196   
0601ARA1N       20180101000275100000005000 0100000590000213   
0601ARA1N       20180101000280100000005000 0100000650000231   
0601ARA1N       20180101000285100000005000 0100000710000247   
0601ARA1N       20180101000290100000005000 0100000770000263   
0601ARA1N       20180101000295100000005000 0100000830000279   
0601ARA1N       20180101000300100000005000 0100000890000294   
0601ARA1N       20180101000305100000005000 0100000950000308   
0601ARA1N       20180101000310100000005000 0100001010000322   
0601ARA1N       20180101000315100000005000 0100001070000336   
0601ARA1N       20180101000320100000005000 0100001130000349   
0601ARA1N       20180101000325100000005000 0100001200000365   
0601ARA1N       20180101000330100000005000 0100001260000378   
0601ARA1N       20180101000335100000005000 0100001320000390   
0601ARA1N       20180101000340100000005000 0100001370000401   
