00VD               20170904                                                                                   
0601VDA0N       20180101001585100000005000 0000000000002372   
0601VDA0N       20180101001590100000005000 0000000000002376   
0601VDA0N       20180101001595100000005000 0000000000002382   
0601VDA0N       20180101001600100000005000 0000000000002385   
0601VDA0N       20180101001605100000005000 0000000000002389   
0601VDA0N       20180101001610100000005000 0000000000002394   
0601VDA0N       20180101001615100000005000 0000000000002397   
0601VDA0N       20180101001620100000005000 0000000000002401   
0601VDA0N       20180101001625100000005000 0000000000002407   
0601VDA0N       20180101001630100000005000 0000000000002409   
0601VDA0N       20180101001635100000005000 0000000000002412   
0601VDA0N       20180101001640100000005000 0000000000002418   
0601VDA0N       20180101001645100000005000 0000000000002422   
0601VDA0N       20180101001650100000005000 0000000000002424   
0601VDA0N       20180101001655100000005000 0000000000002430   
0601VDA0N       20180101001660100000005000 0000000000002433   
0601VDA0N       20180101001665100000005000 0000000000002436   
0601VDA0N       20180101001670100000005000 0000000000002442   
0601VDA0N       20180101001675100000005000 0000000000002445   
0601VDA0N       20180101001680100000005000 0000000000002447   
0601VDA0N       20180101001685100000005000 0000000000002453   
0601VDA0N       20180101001690100000005000 0000000000002456   
0601VDA0N       20180101001695100000005000 0000000000002459   
0601VDA0N       20180101001700100000005000 0000000000002464   
0601VDA0N       20180101001705100000005000 0000000000002467   
0601VDA0N       20180101001710100000005000 0000000000002470   
0601VDA0N       20180101001715100000005000 0000000000002475   
0601VDA0N       20180101001720100000005000 0000000000002477   
0601VDA0N       20180101001725100000005000 0000000000002481   
0601VDA0N       20180101001730100000005000 0000000000002485   
0601VDA0N       20180101001735100000005000 0000000000002489   
0601VDA0N       20180101001740100000005000 0000000000002492   
0601VDA0N       20180101001745100000005000 0000000000002497   
0601VDA0N       20180101001750100000005000 0000000000002499   
0601VDA0N       20180101001755100000005000 0000000000002502   
0601VDA0N       20180101001760100000005000 0000000000002507   
0601VDA0N       20180101001765100000005000 0000000000002510   
0601VDA0N       20180101001770100000005000 0000000000002513   
0601VDA0N       20180101001775100000005000 0000000000002519   
0601VDA0N       20180101001780100000005000 0000000000002521   
0601VDA0N       20180101001785100000005000 0000000000002525   
0601VDA0N       20180101001790100000005000 0000000000002530   
0601VDA0N       20180101001795100000005000 0000000000002533   
0601VDA0N       20180101001800100000005000 0000000000002537   
0601VDA0N       20180101001805100000005000 0000000000002542   
0601VDA0N       20180101001810100000005000 0000000000002544   
0601VDA0N       20180101001815100000005000 0000000000002548   
0601VDA0N       20180101001820100000005000 0000000000002553   
0601VDA0N       20180101001825100000005000 0000000000002557   
0601VDA0N       20180101001830100000005000 0000000000002559   
0601VDA0N       20180101001835100000005000 0000000000002566   
0601VDA0N       20180101001840100000005000 0000000000002568   
0601VDA0N       20180101001845100000005000 0000000000002572   
0601VDA0N       20180101001850100000005000 0000000000002577   
