00BL               20161213                                                                                   
0601BLA0N       20170101002205100000005000 0000058170002635   
0601BLA0N       20170101002210100000005000 0000058360002638   
0601BLA0N       20170101002215100000005000 0000058540002640   
0601BLA0N       20170101002220100000005000 0000058730002643   
0601BLA0N       20170101002225100000005000 0000058910002645   
0601BLA0N       20170101002230100000005000 0000059100002647   
0601BLA0N       20170101002235100000005000 0000059290002650   
0601BLA0N       20170101002240100000005000 0000059470002652   
0601BLA0N       20170101002245100000005000 0000059650002654   
0601BLA0N       20170101002250100000005000 0000059850002657   
0601BLA0N       20170101002255100000005000 0000060030002659   
0601BLA0N       20170101002260100000005000 0000060210002661   
0601BLA0N       20170101002265100000005000 0000060410002664   
0601BLA0N       20170101002270100000005000 0000060590002666   
0601BLA0N       20170101002275100000005000 0000060770002668   
0601BLA0N       20170101002280100000005000 0000060960002671   
0601BLA0N       20170101002285100000005000 0000061150002673   
0601BLA0N       20170101002290100000005000 0000061330002675   
0601BLA0N       20170101002295100000005000 0000061520002678   
0601BLA0N       20170101002300100000005000 0000061700002680   
0601BLA0N       20170101002305100000005000 0000061890002682   
0601BLA0N       20170101002310100000005000 0000062080002685   
0601BLA0N       20170101002315100000005000 0000062260002687   
0601BLA0N       20170101002320100000005000 0000062440002688   
0601BLA0N       20170101002325100000005000 0000062640002691   
0601BLA0N       20170101002330100000005000 0000062820002693   
0601BLA0N       20170101002335100000005000 0000063000002695   
0601BLA0N       20170101002340100000005000 0000063200002698   
0601BLA0N       20170101002345100000005000 0000063380002700   
0601BLA0N       20170101002350100000005000 0000063560002702   
0601BLA0N       20170101002355100000005000 0000063760002705   
0601BLA0N       20170101002360100000005000 0000063940002706   
0601BLA0N       20170101002365100000005000 0000064120002708   
0601BLA0N       20170101002370100000005000 0000064310002711   
0601BLA0N       20170101002375100000005000 0000064500002713   
0601BLA0N       20170101002380100000005000 0000064680002715   
0601BLA0N       20170101002385100000005000 0000064870002717   
0601BLA0N       20170101002390100000005000 0000065060002719   
0601BLA0N       20170101002395100000005000 0000065240002721   
0601BLA0N       20170101002400100000005000 0000065430002723   
0601BLA0N       20170101002405100000005000 0000065610002725   
0601BLA0N       20170101002410100000005000 0000065800002727   
0601BLA0N       20170101002415100000005000 0000065990002730   
0601BLA0N       20170101002420100000005000 0000066170002731   
0601BLA0N       20170101002425100000005000 0000066360002734   
0601BLA0N       20170101002430100000005000 0000066550002736   
0601BLA0N       20170101002435100000005000 0000066730002738   
0601BLA0N       20170101002440100000005000 0000066920002740   
0601BLA0N       20170101002445100000005000 0000067110002742   
0601BLA0N       20170101002450100000005000 0000067290002744   
0601BLA0N       20170101002455100000005000 0000067480002746   
0601BLA0N       20170101002460100000005000 0000067670002748   
0601BLA0N       20170101002465100000005000 0000067850002750   
0601BLA0N       20170101002470100000005000 0000068040002752   
0601BLA0N       20170101002475100000005000 0000068230002754   
0601BLA0N       20170101002480100000005000 0000068410002756   
0601BLA0N       20170101002485100000005000 0000068600002758   
