00SG               20161130                                                                                   
0601SGA0N       20170101000830100000005000 0000000000001460   
0601SGA0N       20170101000835100000005000 0000000000001468   
0601SGA0N       20170101000840100000005000 0000000000001474   
0601SGA0N       20170101000845100000005000 0000000000001480   
0601SGA0N       20170101000850100000005000 0000000000001485   
0601SGA0N       20170101000855100000005000 0000000000001490   
0601SGA0N       20170101000860100000005000 0000000000001498   
0601SGA0N       20170101000865100000005000 0000000000001503   
0601SGA0N       20170101000870100000005000 0000000000001508   
0601SGA0N       20170101000875100000005000 0000000000001513   
0601SGA0N       20170101000880100000005000 0000000000001520   
0601SGA0N       20170101000885100000005000 0000000000001525   
0601SGA0N       20170101000890100000005000 0000000000001530   
0601SGA0N       20170101000895100000005000 0000000000001535   
0601SGA0N       20170101000900100000005000 0000000000001540   
0601SGA0N       20170101000905100000005000 0000000000001546   
0601SGA0N       20170101000910100000005000 0000000000001551   
0601SGA0N       20170101000915100000005000 0000000000001556   
0601SGA0N       20170101000920100000005000 0000000000001560   
0601SGA0N       20170101000925100000005000 0000000000001567   
0601SGA0N       20170101000930100000005000 0000000000001571   
0601SGA0N       20170101000935100000005000 0000000000001576   
0601SGA0N       20170101000940100000005000 0000000000001580   
0601SGA0N       20170101000945100000005000 0000000000001584   
0601SGA0N       20170101000950100000005000 0000000000001591   
0601SGA0N       20170101000955100000005000 0000000000001595   
0601SGA0N       20170101000960100000005000 0000000000001599   
0601SGA0N       20170101000965100000005000 0000000000001603   
0601SGA0N       20170101000970100000005000 0000000000001608   
0601SGA0N       20170101000975100000005000 0000000000001614   
0601SGA0N       20170101000980100000005000 0000000000001619   
0601SGA0N       20170101000985100000005000 0000000000001623   
0601SGA0N       20170101000990100000005000 0000000000001627   
0601SGA0N       20170101000995100000005000 0000000000001633   
0601SGA0N       20170101001000100000005000 0000000000001637   
0601SGA0N       20170101001005100000005000 0000000000001641   
0601SGA0N       20170101001010100000005000 0000000000001645   
0601SGA0N       20170101001015100000005000 0000000000001649   
0601SGA0N       20170101001020100000005000 0000000000001654   
0601SGA0N       20170101001025100000005000 0000000000001658   
0601SGA0N       20170101001030100000005000 0000000000001662   
0601SGA0N       20170101001035100000005000 0000000000001666   
0601SGA0N       20170101001040100000005000 0000000000001671   
0601SGA0N       20170101001045100000005000 0000000000001675   
0601SGA0N       20170101001050100000005000 0000000000001678   
0601SGA0N       20170101001055100000005000 0000000000001682   
0601SGA0N       20170101001060100000005000 0000000000001686   
0601SGA0N       20170101001065100000005000 0000000000001691   
0601SGA0N       20170101001070100000005000 0000000000001694   
0601SGA0N       20170101001075100000005000 0000000000001698   
0601SGA0N       20170101001080100000005000 0000000000001701   
0601SGA0N       20170101001085100000005000 0000000000001707   
0601SGA0N       20170101001090100000005000 0000000000001711   
0601SGA0N       20170101001095100000005000 0000000000001715   
0601SGA0N       20170101001100100000005000 0000000000001719   
0601SGA0N       20170101001105100000005000 0000000000001724   
0601SGA0N       20170101001110100000005000 0000000000001730   
