00GE               20161120                                                                                   
0601GEA0N       20170101001665005000005000 0000000000002424   
0601GEA0N       20170101001670005000005000 0000000000002427   
0601GEA0N       20170101001675005000005000 0000000000002431   
0601GEA0N       20170101001680005000005000 0000000000002434   
0601GEA0N       20170101001685005000005000 0000000000002437   
0601GEA0N       20170101001690005000005000 0000000000002441   
0601GEA0N       20170101001695005000005000 0000000000002444   
0601GEA0N       20170101001700005000005000 0000000000002447   
0601GEA0N       20170101001705005000005000 0000000000002450   
0601GEA0N       20170101001710005000005000 0000000000002453   
0601GEA0N       20170101001715005000005000 0000000000002456   
0601GEA0N       20170101001720005000005000 0000000000002460   
0601GEA0N       20170101001725005000005000 0000000000002463   
0601GEA0N       20170101001730005000005000 0000000000002466   
0601GEA0N       20170101001735005000005000 0000000000002469   
0601GEA0N       20170101001740005000005000 0000000000002472   
0601GEA0N       20170101001745005000005000 0000000000002475   
0601GEA0N       20170101001750005000005000 0000000000002478   
0601GEA0N       20170101001755005000005000 0000000000002481   
0601GEA0N       20170101001760005000005000 0000000000002484   
0601GEA0N       20170101001765005000005000 0000000000002487   
0601GEA0N       20170101001770005000005000 0000000000002490   
0601GEA0N       20170101001775005000005000 0000000000002494   
0601GEA0N       20170101001780005000005000 0000000000002498   
0601GEA0N       20170101001785005000005000 0000000000002501   
0601GEA0N       20170101001790005000005000 0000000000002504   
0601GEA0N       20170101001795005000005000 0000000000002508   
0601GEA0N       20170101001800005000005000 0000000000002512   
0601GEA0N       20170101001805005000005000 0000000000002515   
0601GEA0N       20170101001810005000005000 0000000000002519   
0601GEA0N       20170101001815005000005000 0000000000002523   
0601GEA0N       20170101001820005000005000 0000000000002526   
0601GEA0N       20170101001825005000005000 0000000000002529   
0601GEA0N       20170101001830005000005000 0000000000002533   
0601GEA0N       20170101001835005000005000 0000000000002536   
0601GEA0N       20170101001840005000005000 0000000000002540   
0601GEA0N       20170101001845005000005000 0000000000002543   
0601GEA0N       20170101001850005000005000 0000000000002547   
0601GEA0N       20170101001855005000005000 0000000000002550   
0601GEA0N       20170101001860005000005000 0000000000002554   
0601GEA0N       20170101001865005000005000 0000000000002557   
0601GEA0N       20170101001870005000005000 0000000000002560   
0601GEA0N       20170101001875005000005000 0000000000002564   
0601GEA0N       20170101001880005000005000 0000000000002567   
0601GEA0N       20170101001885005000005000 0000000000002570   
0601GEA0N       20170101001890005000005000 0000000000002574   
0601GEA0N       20170101001895005000005000 0000000000002577   
0601GEA0N       20170101001900005000005000 0000000000002580   
0601GEA0N       20170101001905005000005000 0000000000002583   
0601GEA0N       20170101001910005000005000 0000000000002586   
0601GEA0N       20170101001915005000005000 0000000000002589   
0601GEA0N       20170101001920005000005000 0000000000002593   
0601GEA0N       20170101001925005000005000 0000000000002596   
0601GEA0N       20170101001930005000005000 0000000000002599   
0601GEA0N       20170101001935005000005000 0000000000002602   
0601GEA0N       20170101001940005000005000 0000000000002605   
0601GEA0N       20170101001945005000005000 0000000000002608   
0601GEA0N       20170101001950005000005000 0000000000002612   
0601GEA0N       20170101001955005000005000 0000000000002614   
0601GEA0N       20170101001960005000005000 0000000000002617   
0601GEA0N       20170101001965005000010000 0000000000002622   
0601GEA0N       20170101001975005000010000 0000000000002628   
0601GEA0N       20170101001985005000010000 0000000000002634   
0601GEA0N       20170101001995005000010000 0000000000002640   
0601GEA0N       20170101002005005000010000 0000000000002646   
0601GEA0N       20170101002015005000010000 0000000000002652   
0601GEA0N       20170101002025005000010000 0000000000002657   
0601GEA0N       20170101002035005000010000 0000000000002663   
0601GEA0N       20170101002045005000010000 0000000000002669   
0601GEA0N       20170101002055005000010000 0000000000002674   
0601GEA0N       20170101002065005000010000 0000000000002680   
0601GEA0N       20170101002075005000010000 0000000000002685   
0601GEA0N       20170101002085005000010000 0000000000002690   
0601GEA0N       20170101002095005000010000 0000000000002696   
0601GEA0N       20170101002105005000010000 0000000000002701   
0601GEA0N       20170101002115005000010000 0000000000002706   
0601GEA0N       20170101002125005000010000 0000000000002711   
0601GEA0N       20170101002135005000010000 0000000000002717   
0601GEA0N       20170101002145005000010000 0000000000002721   
0601GEA0N       20170101002155005000010000 0000000000002727   
0601GEA0N       20170101002165005000010000 0000000000002732   
0601GEA0N       20170101002175005000010000 0000000000002736   
0601GEA0N       20170101002185005000010000 0000000000002742   
0601GEA0N       20170101002195005000010000 0000000000002747   
0601GEA0N       20170101002205005000010000 0000000000002751   
0601GEA0N       20170101002215005000010000 0000000000002756   
0601GEA0N       20170101002225005000010000 0000000000002761   
0601GEA0N       20170101002235005000010000 0000000000002765   
0601GEA0N       20170101002245005000010000 0000000000002770   
0601GEA0N       20170101002255005000010000 0000000000002775   
0601GEA0N       20170101002265005000010000 0000000000002779   
0601GEA0N       20170101002275005000010000 0000000000002784   
0601GEA0N       20170101002285005000010000 0000000000002788   
0601GEA0N       20170101002295005000010000 0000000000002792   
0601GEA0N       20170101002305005000010000 0000000000002797   
0601GEA0N       20170101002315005000010000 0000000000002801   
0601GEA0N       20170101002325005000010000 0000000000002806   
0601GEA0N       20170101002335005000010000 0000000000002810   
0601GEA0N       20170101002345005000010000 0000000000002814   
0601GEA0N       20170101002355005000010000 0000000000002818   
0601GEA0N       20170101002365005000010000 0000000000002823   
0601GEA0N       20170101002375005000010000 0000000000002827   
0601GEA0N       20170101002385005000010000 0000000000002831   
0601GEA0N       20170101002395005000010000 0000000000002835   
0601GEA0N       20170101002405005000010000 0000000000002839   
0601GEA0N       20170101002415005000010000 0000000000002843   
0601GEA0N       20170101002425005000010000 0000000000002847   
0601GEA0N       20170101002435005000010000 0000000000002851   
0601GEA0N       20170101002445005000010000 0000000000002855   
0601GEA0N       20170101002455005000010000 0000000000002859   
0601GEA0N       20170101002465005000010000 0000000000002862   
0601GEA0N       20170101002475005000010000 0000000000002866   
0601GEA0N       20170101002485005000010000 0000000000002870   
0601GEA0N       20170101002495005000010000 0000000000002874   
0601GEA0N       20170101002505005000010000 0000000000002878   
0601GEA0N       20170101002515005000010000 0000000000002882   
0601GEA0N       20170101002525005000010000 0000000000002885   
0601GEA0N       20170101002535005000010000 0000000000002889   
0601GEA0N       20170101002545005000010000 0000000000002893   
0601GEA0N       20170101002555005000010000 0000000000002897   
0601GEA0N       20170101002565005000010000 0000000000002901   
0601GEA0N       20170101002575005000010000 0000000000002905   
0601GEA0N       20170101002585005000010000 0000000000002909   
0601GEA0N       20170101002595005000010000 0000000000002912   
0601GEA0N       20170101002605005000010000 0000000000002916   
0601GEA0N       20170101002615005000010000 0000000000002920   
0601GEA0N       20170101002625005000010000 0000000000002924   
0601GEA0N       20170101002635005000010000 0000000000002927   
0601GEA0N       20170101002645005000010000 0000000000002931   
0601GEA0N       20170101002655005000010000 0000000000002934   
0601GEA0N       20170101002665005000010000 0000000000002938   
0601GEA0N       20170101002675005000010000 0000000000002942   
0601GEA0N       20170101002685005000010000 0000000000002946   
0601GEA0N       20170101002695005000010000 0000000000002949   
0601GEA0N       20170101002705005000010000 0000000000002953   
0601GEA0N       20170101002715005000010000 0000000000002957   
0601GEA0N       20170101002725005000010000 0000000000002961   
0601GEA0N       20170101002735005000010000 0000000000002964   
0601GEA0N       20170101002745005000010000 0000000000002968   
0601GEA0N       20170101002755005000010000 0000000000002972   
0601GEA0N       20170101002765005000010000 0000000000002975   
0601GEA0N       20170101002775005000010000 0000000000002979   
0601GEA0N       20170101002785005000010000 0000000000002982   
0601GEA0N       20170101002795005000010000 0000000000002985   
0601GEA0N       20170101002805005000010000 0000000000002989   
0601GEA0N       20170101002815005000010000 0000000000002992   
0601GEA0N       20170101002825005000010000 0000000000002996   
0601GEA0N       20170101002835005000010000 0000000000002999   
0601GEA0N       20170101002845005000010000 0000000000003003   
0601GEA0N       20170101002855005000010000 0000000000003006   
0601GEA0N       20170101002865005000010000 0000000000003010   
0601GEA0N       20170101002875005000010000 0000000000003013   
0601GEA0N       20170101002885005000010000 0000000000003016   
0601GEA0N       20170101002895005000010000 0000000000003019   
0601GEA0N       20170101002905005000010000 0000000000003022   
0601GEA0N       20170101002915005000010000 0000000000003026   
0601GEA0N       20170101002925005000010000 0000000000003029   
0601GEA0N       20170101002935005000010000 0000000000003032   
