00AR               20131210                                                                                   
0601ARA0N       20140101001065100000005000 0000016250001522   
0601ARA0N       20140101001070100000005000 0000016360001525   
0601ARA0N       20140101001075100000005000 0000016470001529   
0601ARA0N       20140101001080100000005000 0000016600001533   
0601ARA0N       20140101001085100000005000 0000016720001537   
0601ARA0N       20140101001090100000005000 0000016840001541   
0601ARA0N       20140101001095100000005000 0000016980001547   
0601ARA0N       20140101001100100000005000 0000017100001551   
0601ARA0N       20140101001105100000005000 0000017220001555   
0601ARA0N       20140101001110100000005000 0000017360001560   
0601ARA0N       20140101001115100000005000 0000017480001564   
0601ARA0N       20140101001120100000005000 0000017600001568   
0601ARA0N       20140101001125100000005000 0000017740001573   
0601ARA0N       20140101001130100000005000 0000017860001577   
0601ARA0N       20140101001135100000005000 0000017980001581   
0601ARA0N       20140101001140100000005000 0000018120001586   
0601ARA0N       20140101001145100000005000 0000018240001590   
0601ARA0N       20140101001150100000005000 0000018360001593   
0601ARA0N       20140101001155100000005000 0000018500001598   
0601ARA0N       20140101001160100000005000 0000018620001602   
0601ARA0N       20140101001165100000005000 0000018740001605   
0601ARA0N       20140101001170100000005000 0000018890001611   
0601ARA0N       20140101001175100000005000 0000019000001614   
0601ARA0N       20140101001180100000005000 0000019130001618   
0601ARA0N       20140101001185100000005000 0000019270001623   
0601ARA0N       20140101001190100000005000 0000019390001626   
0601ARA0N       20140101001195100000005000 0000019510001629   
0601ARA0N       20140101001200100000005000 0000019650001634   
0601ARA0N       20140101001205100000005000 0000019770001637   
0601ARA0N       20140101001210100000005000 0000019890001640   
0601ARA0N       20140101001215100000005000 0000020030001645   
0601ARA0N       20140101001220100000005000 0000020150001648   
0601ARA0N       20140101001225100000005000 0000020270001651   
0601ARA0N       20140101001230100000005000 0000020420001657   
0601ARA0N       20140101001235100000005000 0000020540001660   
0601ARA0N       20140101001240100000005000 0000020660001663   
0601ARA0N       20140101001245100000005000 0000020810001668   
0601ARA0N       20140101001250100000005000 0000020930001671   
0601ARA0N       20140101001255100000005000 0000021050001674   
0601ARA0N       20140101001260100000005000 0000021200001679   
0601ARA0N       20140101001265100000005000 0000021320001682   
