00AG               20161121                                                                                   
0601AGA0N       20170101002850100000050000 0000000000002440   
0601AGA0N       20170101002900100000050000 0000000000002460   
0601AGA0N       20170101002950100000050000 0000000000002470   
0601AGA0N       20170101003000100000500000 0000000000002530   
0601AGA0N       20170101003500100000500000 0000000000002630   
0601AGA0N       20170101004000100000500000 0000000000002700   
0601AGA0N       20170101004500100000500000 0000000000002760   
0601AGA0N       20170101005000100000500000 0000000000002810   
0601AGA0N       20170101005500100000500000 0000000000002850   
0601AGA0N       20170101006000100000500000 0000000000002880   
0601AGA0N       20170101006500100000500000 0000000000002910   
0601AGA0N       20170101007000100000500000 0000000000002930   
0601AGA0N       20170101007500100000500000 0000000000002950   
0601AGA0N       20170101008000100000500000 0000000000002960   
0601AGA0N       20170101008500100000500000 0000000000002960   
0601AGA0N       20170101009000100000500000 0000000000002970   
0601AGA0N       20170101009500100000500000 0000000000002980   
0601AGA1N       20170101000000100000025000 0100000020000000   
0601AGA1N       20170101000025100000005000 0100000020000000   
0601AGA1N       20170101000030100000005000 0100000020000000   
0601AGA1N       20170101000035100000005000 0100000020000000   
0601AGA1N       20170101000040100000005000 0100000020000000   
0601AGA1N       20170101000045100000005000 0100000020000000   
0601AGA1N       20170101000050100000005000 0100000020000000   
0601AGA1N       20170101000055100000005000 0100000020000000   
0601AGA1N       20170101000060100000005000 0100000020000000   
0601AGA1N       20170101000065100000005000 0100000020000000   
0601AGA1N       20170101000070100000005000 0100000020000000   
0601AGA1N       20170101000075100000005000 0100000020000000   
0601AGA1N       20170101000080100000005000 0100000020000000   
0601AGA1N       20170101000085100000005000 0100000020000000   
0601AGA1N       20170101000090100000005000 0100000020000000   
0601AGA1N       20170101000095100000005000 0100000020000000   
0601AGA1N       20170101000100100000005000 0100000020000000   
0601AGA1N       20170101000105100000005000 0100000020000000   
0601AGA1N       20170101000110100000005000 0100000020000000   
0601AGA1N       20170101000115100000005000 0100000020000000   
0601AGA1N       20170101000120100000005000 0100000020000000   
0601AGA1N       20170101000125100000005000 0100000020000000   
0601AGA1N       20170101000130100000005000 0100000020000000   
0601AGA1N       20170101000135100000005000 0100000020000000   
0601AGA1N       20170101000140100000005000 0100000020000000   
0601AGA1N       20170101000145100000005000 0100000020000000   
0601AGA1N       20170101000150100000005000 0100000020000000   
0601AGA1N       20170101000155100000005000 0100000020000000   
0601AGA1N       20170101000160100000005000 0100000020000000   
0601AGA1N       20170101000165100000005000 0100000020000000   
0601AGA1N       20170101000170100000005000 0100000020000000   
0601AGA1N       20170101000175100000005000 0100000020000000   
0601AGA1N       20170101000180100000005000 0100000020000000   
0601AGA1N       20170101000185100000005000 0100000020000000   
0601AGA1N       20170101000190100000005000 0100000020000000   
0601AGA1N       20170101000195100000005000 0100000020000000   
0601AGA1N       20170101000200100000005000 0100000020000000   
0601AGA1N       20170101000205100000005000 0100000020000000   
0601AGA1N       20170101000210100000005000 0100000020000000   
0601AGA1N       20170101000215100000005000 0100000020000000   
0601AGA1N       20170101000220100000005000 0100000020000000   
0601AGA1N       20170101000225100000005000 0100000020000000   
0601AGA1N       20170101000230100000005000 0100000020000000   
0601AGA1N       20170101000235100000005000 0100000020000000   
0601AGA1N       20170101000240100000005000 0100000020000000   
0601AGA1N       20170101000245100000005000 0100000020000000   
0601AGA1N       20170101000250100000005000 0100000020000000   
0601AGA1N       20170101000255100000005000 0100000020000000   
0601AGA1N       20170101000260100000005000 0100000020000000   
0601AGA1N       20170101000265100000005000 0100000020000000   
0601AGA1N       20170101000270100000005000 0100000020000000   
